Date,Miner Revenue
2011-03-30,8153.48010001
2011-03-31,7804.0509
2011-04-01,10053.91
2011-04-02,8803.41
2011-04-03,9002.84040002
2011-04-04,8754.1491133
2011-04-05,8906.00815472
2011-04-06,9705.0305
2011-04-07,7454.73030001
2011-04-08,7303.0302
2011-04-09,8304.2501
2011-04-10,7804.2
2011-04-11,8655.32368921
2011-04-12,8154.34709964
2011-04-13,8154.49552894
2011-04-14,9704.51059999
2011-04-15,8013.70414348
2011-04-16,6802.529
2011-04-17,8653.69088576
2011-04-18,9002.1526
2011-04-19,7403.52510399
2011-04-20,7705.52128213
2011-04-21,7207.10490659
2011-04-22,7353.3737338
2011-04-23,8805.31
2011-04-24,8607.16109964
2011-04-25,8104.72222262
2011-04-26,9608.9316433
2011-04-27,9754.99050001
2011-04-28,9159.17167893
2011-04-29,8206.6105
2011-04-30,10007.74782689
2011-05-01,9460.20307272
2011-05-02,8961.05184732
2011-05-03,9854.88371355
2011-05-04,9804.86618089
2011-05-05,9856.34378725
2011-05-06,10959.64085224
2011-05-07,10907.63751661
2011-05-08,10706.4483187
2011-05-09,10957.83657543
2011-05-10,11960.45841447
2011-05-11,9158.10779259
2011-05-12,9558.12130806
2011-05-13,8457.28833412
2011-05-14,10361.61572268
2011-05-15,12114.48995627
2011-05-16,11015.04888381
2011-05-17,12364.49397959
2011-05-18,12863.65505175
2011-05-19,14420.24189126
2011-05-20,8565.62408138
2011-05-21,11017.56237894
2011-05-22,11021.06099033
2011-05-23,12618.70272222
2011-05-24,14318.08992548
2011-05-25,14970.94934931
2011-05-26,15371.5207418
2011-05-27,14820.54668649
2011-05-28,8363.83692316
2011-05-29,7763.90909051
2011-05-30,9014.56634876
2011-05-31,7718.24268795
2011-06-01,7520.23046184
2011-06-02,9423.87662548
2011-06-03,9523.45805289
2011-06-04,10126.17833617
2011-06-05,11232.57768915
2011-06-06,10423.36344953
2011-06-07,11679.54350482
2011-06-08,8529.78888092
2011-06-09,9295.00819876
2011-06-10,11142.48121433
2011-06-11,11188.20728678
2011-06-12,12635.31692116
2011-06-13,11695.7289672
2011-06-14,11385.08245643
2011-06-15,12386.26730066
2011-06-16,13990.07457391
2011-06-17,9032.0818861
2011-06-18,9331.49572779
2011-06-19,9877.53719378
2011-06-20,11175.34181596
2011-06-21,11720.16885088
2011-06-22,12668.13743532
2011-06-23,13017.60613128
2011-06-24,12014.53406958
2011-06-25,10816.61449469
2011-06-26,7173.62483685
