Date,Velocity of Money
2011-01-03,3.84267
2011-01-04,3.85003
2011-01-05,3.84839
2011-01-06,3.85256
2011-01-07,3.85352
2011-01-08,3.85824
2011-01-09,3.86312
2011-01-10,3.86496
2011-01-11,3.87451
2011-01-12,3.8887
2011-01-13,3.89181
2011-01-14,3.90881
2011-01-15,3.91755
2011-01-16,3.92268
2011-01-17,3.92857
2011-01-18,3.93337
2011-01-19,3.94811
2011-01-20,3.95313
2011-01-21,3.95621
2011-01-22,3.96142
2011-01-23,3.9679
2011-01-24,3.97682
2011-01-25,3.98398
2011-01-26,3.9867
2011-01-27,4.07289
2011-01-28,4.18328
2011-01-29,4.18602
2011-01-30,4.19179
2011-01-31,4.2673
2011-02-01,4.28918
2011-02-02,4.30623
2011-02-03,4.31987
2011-02-04,4.32468
2011-02-05,4.32674
2011-02-06,4.33259
2011-02-07,4.33665
2011-02-08,4.35732
2011-02-09,4.3619
2011-02-10,4.37471
2011-02-11,4.40219
2011-02-12,4.44077
2011-02-13,4.45538
2011-02-14,4.4652
2011-02-15,4.47768
2011-02-16,4.48391
2011-02-17,4.48569
2011-02-18,4.48287
2011-02-19,4.49563
2011-02-20,4.52459
2011-02-21,4.55227
2011-02-22,4.58524
2011-02-23,4.64068
2011-02-24,4.69253
2011-02-25,4.72266
2011-02-26,4.74273
2011-02-27,4.75808
2011-02-28,4.78207
2011-03-01,4.79672
2011-03-02,4.97692
2011-03-03,5.40602
2011-03-04,5.44906
2011-03-05,5.47581
2011-03-06,5.48516
2011-03-07,5.50052
2011-03-08,5.52503
2011-03-09,5.54809
2011-03-10,5.58267
2011-03-11,5.65101
2011-03-12,5.67361
2011-03-13,5.69406
2011-03-14,5.7305
2011-03-15,5.75502
2011-03-16,5.77042
2011-03-17,5.78998
2011-03-18,5.81082
2011-03-19,5.83519
2011-03-20,5.84768
2011-03-21,5.86412
2011-03-22,5.88693
2011-03-23,5.91504
2011-03-24,5.94755
2011-03-25,5.98447
2011-03-26,6.02204
2011-03-27,6.06772
2011-03-28,6.08539
2011-03-29,6.09955
2011-03-30,6.10934
2011-03-31,6.12183
2011-04-01,6.13431
2011-04-02,6.138
2011-04-03,6.14497
2011-04-04,6.14902
2011-04-05,6.16603
2011-04-06,6.17257
2011-04-07,6.17802
2011-04-08,6.18826
2011-04-09,6.20159
2011-04-10,6.21167
2011-04-11,6.21443
2011-04-12,6.21919
2011-04-13,6.2281
2011-04-14,6.24799
2011-04-15,6.25395
2011-04-16,6.25842
2011-04-17,6.30045
2011-04-18,6.50891
2011-04-19,6.51592
2011-04-20,6.94815
2011-04-21,7.7391
2011-04-22,7.80072
2011-04-23,7.81199
2011-04-24,7.82898
2011-04-25,7.83278
2011-04-26,7.83332
2011-04-27,7.84864
2011-04-28,7.87598
2011-04-29,7.8882
2011-04-30,8.00281
2011-05-01,8.04719
2011-05-02,8.06087
2011-05-03,8.06644
2011-05-04,8.08396
2011-05-05,8.11372
2011-05-06,8.12212
2011-05-07,8.15161
2011-05-08,8.16699
2011-05-09,8.23634
2011-05-10,8.24346
2011-05-11,8.32178
2011-05-12,8.33713
2011-05-13,8.3558
2011-05-14,8.41323
2011-05-15,8.68574
2011-05-16,8.72374
2011-05-17,8.74396
2011-05-18,8.75838
2011-05-19,8.76599
2011-05-20,8.78076
2011-05-21,8.82106
2011-05-22,8.90217
2011-05-23,9.01638
2011-05-24,9.06586
2011-05-25,9.09953
2011-05-26,9.13668
2011-05-27,9.17745
2011-05-28,9.24726
2011-05-29,9.26666
2011-05-30,9.28829
2011-05-31,9.31853
2011-06-01,9.35001
2011-06-02,9.37803
2011-06-03,9.41836
2011-06-04,9.49677
2011-06-05,9.5501
2011-06-06,9.61886
2011-06-07,9.7294
2011-06-08,9.79367
2011-06-09,9.89789
2011-06-10,9.99271
2011-06-11,10.1123
2011-06-12,10.3188
2011-06-13,10.5802
2011-06-14,10.7508
2011-06-15,10.9602
2011-06-16,11.6179
2011-06-17,12.8878
2011-06-18,13.1066
2011-06-19,13.2751
2011-06-20,13.9352
2011-06-21,14.106
2011-06-22,14.5798
2011-06-23,14.7429
2011-06-24,14.9537
2011-06-25,15.6426
2011-06-26,17.2502
2011-06-27,17.8153
2011-06-28,18.0939
2011-06-29,19.139
2011-06-30,19.4478
2011-07-01,19.6378
2011-07-02,19.7736
2011-07-03,19.8614
2011-07-04,19.9098
2011-07-05,20.0846
2011-07-06,20.116
2011-07-07,20.1733
2011-07-08,20.2146
2011-07-09,20.2331
2011-07-10,20.5149
2011-07-11,20.8504
2011-07-12,20.9636
2011-07-13,20.7187
2011-07-14,20.8546
2011-07-15,21.0684
2011-07-16,21.1197
2011-07-17,21.2677
2011-07-18,21.3178
2011-07-19,21.7701
2011-07-20,22.1401
2011-07-21,22.1904
2011-07-22,22.3554
2011-07-23,22.5515
2011-07-24,22.6178
2011-07-25,22.6572
2011-07-26,22.8311
2011-07-27,22.9594
2011-07-28,23.1089
2011-07-29,23.5726
2011-07-30,23.6358
2011-07-31,23.65
2011-08-01,23.7049
2011-08-02,23.7168
2011-08-03,23.737
2011-08-04,23.7661
2011-08-05,23.7818
2011-08-06,23.826
2011-08-07,23.8564
2011-08-08,23.8803
2011-08-09,24.0325
2011-08-10,24.3234
2011-08-11,24.4518
2011-08-12,24.4895
2011-08-13,24.5127
2011-08-14,24.5436
2011-08-15,24.5696
2011-08-16,24.5931
2011-08-17,24.6041
2011-08-18,24.62
2011-08-19,24.647
2011-08-20,24.6992
2011-08-21,24.6997
2011-08-22,24.7001
2011-08-23,24.7068
2011-08-24,24.7389
2011-08-25,24.7917
2011-08-26,24.8183
2011-08-27,24.8298
2011-08-28,25.1839
2011-08-29,25.186
2011-08-30,25.1954
2011-08-31,25.1999
2011-09-01,25.2039
2011-09-02,25.222
2011-09-03,25.2256
2011-09-04,25.227
2011-09-05,25.4435
2011-09-06,25.7152
2011-09-07,26.1211
2011-09-08,26.1685
2011-09-09,26.1957
2011-09-10,26.2182
2011-09-11,26.2293
2011-09-12,26.3464
2011-09-13,26.4033
2011-09-14,26.4106
2011-09-15,26.4209
2011-09-16,26.4274
2011-09-17,26.4949
2011-09-18,26.5055
2011-09-19,26.5111
2011-09-20,26.5256
2011-09-21,26.5414
2011-09-22,26.5656
2011-09-23,26.573
2011-09-24,26.578
2011-09-25,26.5825
2011-09-26,26.5936
2011-09-27,26.6041
2011-09-28,26.6338
2011-09-29,26.6443
2011-09-30,26.6515
2011-10-01,26.6591
2011-10-02,26.6857
2011-10-03,26.655
2011-10-04,26.6768
2011-10-05,26.6346
2011-10-06,26.6362
2011-10-07,26.6685
2011-10-08,26.6776
2011-10-09,26.6741
2011-10-10,26.6677
2011-10-11,26.6699
2011-10-12,26.6869
2011-10-13,26.7002
2011-10-14,26.7059
2011-10-15,26.7058
2011-10-16,26.701
2011-10-17,26.6871
2011-10-18,26.7177
2011-10-19,26.712
2011-10-20,26.693
2011-10-21,26.6863
2011-10-22,26.7117
2011-10-23,26.759
2011-10-24,26.8057
2011-10-25,26.8161
2011-10-26,26.821
2011-10-27,26.8432
2011-10-28,26.8699
2011-10-29,26.8712
2011-10-30,26.8983
2011-10-31,26.8963
2011-11-01,26.9216
2011-11-02,26.9538
2011-11-03,26.9754
2011-11-04,26.9882
2011-11-05,26.9925
2011-11-06,26.9974
2011-11-07,26.9844
2011-11-08,26.9846
2011-11-09,27.0445
2011-11-10,27.1335
2011-11-11,27.1465
2011-11-12,27.1594
2011-11-13,27.1603
2011-11-14,27.163
2011-11-15,27.1769
2011-11-16,27.162
2011-11-17,27.3549
2011-11-18,27.8156
2011-11-19,28.3758
2011-11-20,28.8786
2011-11-21,29.031
2011-11-22,29.2756
2011-11-23,29.6442
2011-11-24,29.8143
2011-11-25,29.9898
2011-11-26,30.0903
2011-11-27,30.2618
2011-11-28,30.469
2011-11-29,30.9573
2011-11-30,31.4343
2011-12-01,32.2968
2011-12-02,32.4705
2011-12-03,33.1876
2011-12-04,33.6002
2011-12-05,33.8806
2011-12-06,34.2239
2011-12-07,35.112
2011-12-08,35.7863
2011-12-09,36.3319
2011-12-10,36.4932
2011-12-11,36.6002
2011-12-12,36.6615
2011-12-13,36.7189
2011-12-14,36.7073
2011-12-15,36.7137
2011-12-16,36.731
2011-12-17,36.7539
2011-12-18,36.7534
2011-12-19,36.7516
2011-12-20,36.7619
2011-12-21,36.7883
2011-12-22,36.8116
2011-12-23,36.8222
2011-12-24,36.8128
2011-12-25,36.8102
2011-12-26,36.7934
2011-12-27,36.8325
2011-12-28,36.8702
2011-12-29,36.8622
2011-12-30,36.8792
2011-12-31,36.8725
2012-01-01,36.8637
2012-01-02,36.8641
2012-01-03,36.8556
2012-01-04,36.8434
2012-01-05,36.8568
2012-01-06,36.8991
2012-01-07,36.9295
2012-01-08,36.9201
2012-01-09,36.919
2012-01-10,36.9312
2012-01-11,36.9362
2012-01-12,36.9354
2012-01-13,36.9413
2012-01-14,36.939
2012-01-15,36.9369
2012-01-16,36.9313
2012-01-17,36.9362
2012-01-18,36.9494
2012-01-19,36.9505
2012-01-20,36.9577
2012-01-21,36.9622
2012-01-22,36.9538
2012-01-23,36.9489
2012-01-24,36.9353
2012-01-25,36.9414
2012-01-26,36.9548
2012-01-27,36.9118
2012-01-28,36.848
2012-01-29,36.8418
2012-01-30,36.8366
2012-01-31,36.7843
2012-02-01,36.7743
2012-02-02,36.7796
2012-02-03,36.7745
2012-02-04,36.7784
2012-02-05,36.7797
2012-02-06,36.779
2012-02-07,36.7783
2012-02-08,36.7664
2012-02-09,36.7632
2012-02-10,36.7471
2012-02-11,36.7293
2012-02-12,36.7205
2012-02-13,36.7072
2012-02-14,36.7263
2012-02-15,36.836
2012-02-16,36.9671
2012-02-17,37.1057
2012-02-18,37.1762
2012-02-19,37.2062
2012-02-20,37.1939
2012-02-21,37.1924
2012-02-22,37.1821
2012-02-23,37.1981
2012-02-24,37.2031
2012-02-25,37.2095
2012-02-26,37.2001
2012-02-27,37.1876
